Unknown command: '0.0.0.0:8000'
Type 'manage.py help' for usage.
[17/Jun/2017 16:47:25] "GET /view_images/?id=16252 HTTP/1.1" 200 6260
[17/Jun/2017 16:47:25] "GET /view_images?id=16222 HTTP/1.1" 301 0
[17/Jun/2017 16:47:26] "GET /view_images/?id=16222 HTTP/1.1" 200 7989
[17/Jun/2017 16:47:27] "GET /view_images?id=16220 HTTP/1.1" 301 0
[17/Jun/2017 16:47:27] "GET /view_images/?id=16220 HTTP/1.1" 200 8619
[17/Jun/2017 16:47:28] "GET /view_images?id=16219 HTTP/1.1" 301 0
[17/Jun/2017 16:47:28] "GET /view_images/?id=16219 HTTP/1.1" 200 10745
[17/Jun/2017 16:47:29] "GET /view_images?id=16218 HTTP/1.1" 301 0
[17/Jun/2017 16:47:29] "GET /view_images/?id=16218 HTTP/1.1" 200 18983
[17/Jun/2017 16:47:30] "GET /view_images?id=16217 HTTP/1.1" 301 0
[17/Jun/2017 16:47:30] "GET /view_images/?id=16217 HTTP/1.1" 200 7609
[17/Jun/2017 16:47:31] "GET /view_images?id=16216 HTTP/1.1" 301 0
[17/Jun/2017 16:47:31] "GET /view_images/?id=16216 HTTP/1.1" 200 7561
[17/Jun/2017 16:47:32] "GET /view_images/?id=16215 HTTP/1.1" 200 8047
[17/Jun/2017 16:48:46] "GET /view_images/?id=16215 HTTP/1.1" 200 8047
[17/Jun/2017 16:50:52] "GET /view_images/?id=16218 HTTP/1.1" 200 18983
[17/Jun/2017 17:28:14] "GET /query_images/?query=%E9%9C%B2%E8%84%B8 HTTP/1.1" 200 7080
[17/Jun/2017 17:28:15] "GET /view_images?id=16203 HTTP/1.1" 301 0
[17/Jun/2017 17:28:15] "GET /view_images/?id=16203 HTTP/1.1" 200 9587
[17/Jun/2017 17:28:40] "GET /view_images?id=16202 HTTP/1.1" 301 0
[17/Jun/2017 17:28:40] "GET /view_images/?id=16202 HTTP/1.1" 200 7285
[17/Jun/2017 17:28:53] "GET /view_images?id=16201 HTTP/1.1" 301 0
[17/Jun/2017 17:28:53] "GET /view_images/?id=16201 HTTP/1.1" 200 9097
[17/Jun/2017 17:28:57] "GET /view_images?id=16200 HTTP/1.1" 301 0
[17/Jun/2017 17:28:57] "GET /view_images/?id=16200 HTTP/1.1" 200 7365
[17/Jun/2017 17:29:01] "GET /view_images?id=16199 HTTP/1.1" 301 0
[17/Jun/2017 17:29:01] "GET /view_images/?id=16199 HTTP/1.1" 200 13145
[17/Jun/2017 18:04:34] "GET /view_images/?id=13806 HTTP/1.1" 200 5955
[17/Jun/2017 18:04:41] "GET /view_images/?id=13895 HTTP/1.1" 200 7441
[17/Jun/2017 18:15:22] "GET /view_videos/ HTTP/1.1" 200 15197
Not Found: /apple-touch-icon-120x120-precomposed.png
[17/Jun/2017 18:15:23] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 3538
Not Found: /apple-touch-icon-120x120.png
[17/Jun/2017 18:15:23] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 3502
Not Found: /apple-touch-icon.png
[17/Jun/2017 18:15:23] "GET /apple-touch-icon.png HTTP/1.1" 404 3478
Not Found: /apple-touch-icon.png
[17/Jun/2017 18:15:23] "GET /apple-touch-icon.png HTTP/1.1" 404 3478
[17/Jun/2017 18:15:31] "GET /query_images/ HTTP/1.1" 200 6544
[17/Jun/2017 18:15:34] "GET /query_images/?query= HTTP/1.1" 200 7507
[17/Jun/2017 18:15:36] "GET /view_images?id=16286 HTTP/1.1" 301 0
[17/Jun/2017 18:15:36] "GET /view_images/?id=16286 HTTP/1.1" 200 7377
[17/Jun/2017 18:15:41] "GET /view_images?id=16252 HTTP/1.1" 301 0
[17/Jun/2017 18:15:41] "GET /view_images/?id=16252 HTTP/1.1" 200 6260
[17/Jun/2017 18:15:48] "GET /view_images?id=16222 HTTP/1.1" 301 0
[17/Jun/2017 18:15:48] "GET /view_images/?id=16222 HTTP/1.1" 200 7989
[17/Jun/2017 18:15:51] "GET /star_image_page/?id=16222 HTTP/1.1" 200 80
[17/Jun/2017 18:15:56] "GET /star_image_page/?id=16222 HTTP/1.1" 200 80
[17/Jun/2017 18:16:12] "GET /view_images/?id=16252 HTTP/1.1" 200 6260
[17/Jun/2017 18:16:15] "GET /view_images?id=16220 HTTP/1.1" 301 0
[17/Jun/2017 18:16:15] "GET /view_images/?id=16220 HTTP/1.1" 200 8619
[17/Jun/2017 18:16:27] "GET /view_images?id=16219 HTTP/1.1" 301 0
[17/Jun/2017 18:16:27] "GET /view_images/?id=16219 HTTP/1.1" 200 10745
[17/Jun/2017 18:16:35] "GET /view_images?id=16213 HTTP/1.1" 301 0
[17/Jun/2017 18:16:35] "GET /view_images/?id=16213 HTTP/1.1" 200 7235
[17/Jun/2017 18:16:50] "GET /view_images?id=16214 HTTP/1.1" 301 0
[17/Jun/2017 18:16:50] "GET /view_images/?id=16214 HTTP/1.1" 200 7425
[17/Jun/2017 18:17:07] "GET /view_images?id=16215 HTTP/1.1" 301 0
[17/Jun/2017 18:17:07] "GET /view_images/?id=16215 HTTP/1.1" 200 8047
[17/Jun/2017 18:17:08] "GET /view_images?id=16216 HTTP/1.1" 301 0
[17/Jun/2017 18:17:08] "GET /view_images/?id=16216 HTTP/1.1" 200 7561
[17/Jun/2017 18:17:10] "GET /view_images?id=16217 HTTP/1.1" 301 0
[17/Jun/2017 18:17:11] "GET /view_images/?id=16217 HTTP/1.1" 200 7609
[17/Jun/2017 18:17:12] "GET /view_images?id=16218 HTTP/1.1" 301 0
[17/Jun/2017 18:17:12] "GET /view_images/?id=16218 HTTP/1.1" 200 18983
[17/Jun/2017 18:17:28] "GET /query_images/?query= HTTP/1.1" 200 7507
[17/Jun/2017 18:17:28] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
[17/Jun/2017 18:17:28] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 0
[17/Jun/2017 18:17:28] "GET /static/js/jquery.js HTTP/1.1" 304 0
[17/Jun/2017 18:17:30] "GET /query_images/?query=&pageid=2 HTTP/1.1" 200 7460
[17/Jun/2017 18:17:33] "GET /view_images?id=16197 HTTP/1.1" 301 0
[17/Jun/2017 18:17:33] "GET /view_images/?id=16197 HTTP/1.1" 200 7575
[17/Jun/2017 18:17:46] "GET /view_images?id=16179 HTTP/1.1" 301 0
[17/Jun/2017 18:17:46] "GET /view_images/?id=16179 HTTP/1.1" 200 10979
[17/Jun/2017 18:20:34] "GET /view_images?id=16160 HTTP/1.1" 301 0
[17/Jun/2017 18:20:34] "GET /view_images/?id=16160 HTTP/1.1" 200 6569
[17/Jun/2017 18:20:46] "GET /query_images/?query=&pageid=3 HTTP/1.1" 200 7165
[17/Jun/2017 18:20:48] "GET /view_images?id=16158 HTTP/1.1" 301 0
[17/Jun/2017 18:20:48] "GET /view_images/?id=16158 HTTP/1.1" 200 7589
[17/Jun/2017 18:21:02] "GET /view_images?id=16153 HTTP/1.1" 301 0
[17/Jun/2017 18:21:02] "GET /view_images/?id=16153 HTTP/1.1" 200 6158
[17/Jun/2017 18:21:28] "GET /query_images/?query=&pageid=4 HTTP/1.1" 200 6735
[17/Jun/2017 18:21:33] "GET /view_images?id=16131 HTTP/1.1" 301 0
[17/Jun/2017 18:21:33] "GET /view_images/?id=16131 HTTP/1.1" 200 6661
[17/Jun/2017 18:22:06] "GET /query_images/?query=&pageid=5 HTTP/1.1" 200 6601
[17/Jun/2017 18:22:14] "GET /query_images/?query=&pageid=6 HTTP/1.1" 200 7216
[17/Jun/2017 18:22:26] "GET /query_images/?query=&pageid=7 HTTP/1.1" 200 7218
[17/Jun/2017 18:22:42] "GET /view_images?id=16012 HTTP/1.1" 301 0
[17/Jun/2017 18:22:42] "GET /view_images/?id=16012 HTTP/1.1" 200 6001
[17/Jun/2017 18:22:50] "GET /view_images?id=16009 HTTP/1.1" 301 0
[17/Jun/2017 18:22:50] "GET /view_images/?id=16009 HTTP/1.1" 200 9243
[17/Jun/2017 18:23:07] "GET /view_images?id=16008 HTTP/1.1" 301 0
[17/Jun/2017 18:23:07] "GET /view_images/?id=16008 HTTP/1.1" 200 8901
[17/Jun/2017 18:23:17] "GET /query_images/?query=&pageid=8 HTTP/1.1" 200 6830
[17/Jun/2017 18:23:25] "GET /view_images?id=15984 HTTP/1.1" 301 0
[17/Jun/2017 18:23:25] "GET /view_images/?id=15984 HTTP/1.1" 200 6255
[17/Jun/2017 18:23:34] "GET /query_images/?query=&pageid=9 HTTP/1.1" 200 6819
[17/Jun/2017 18:23:39] "GET /view_images?id=15983 HTTP/1.1" 301 0
[17/Jun/2017 18:23:39] "GET /view_images/?id=15983 HTTP/1.1" 200 7845
[17/Jun/2017 18:23:52] "GET /query_images/?query=&pageid=9 HTTP/1.1" 200 6819
